# The `test/api` rows the Rust cdylib is known to fail — the allowlist behind
# `gtest_stretch.sh --check` (Phase 8b session A, T8b.A1).
#
#   format:  <gtest full test name> | <owner> | <reason>
#   blank lines and `#` comments ignored; the name must be the *full* name gtest
#   prints, parametrized instances spelled out one per row (`.../0`, `/1`, `/2`).
#
# `--check` fails when a failing test is NOT here (a regression, or a new failure
# nobody owns) and when a listed test PASSES (a stale row — a lie about coverage).
# The tally therefore moves only by editing this file in the same commit as the fix.
#
# Owners are the phase/session that will make the row pass. Rows are grouped by the
# *assertion site* they fail at (S47: a fixture name is a surface), which is stated
# in each group's header and re-measured by `--check`'s own by-site tally.

# --- decoder_ec_test.cpp:746 — LTR recovery must yield an IDR ----------------
# T8b.A3 fixed `Engine_SVC_Switch_I` and moved `_P`'s first failure from the
# TEMPORAL_ID read at `:789` to the LTR one at `:746`
# (`ASSERT_TRUE (info.eFrameType == videoFrameTypeIDR)` under
# `IDR_RECOVERY_REQUEST`) — the same assertion as `ltr_test.cpp:39` below.
EncodeDecodeTestAPI.Engine_SVC_Switch_P | 8b.A | LTR recovery request does not produce an IDR (decoder_ec_test.cpp:746)
DecodeParseAPI.ParseOnly_General | 8b.B | DecodeParser is a stub: returns dsErrorFree, writes nothing (iNalNum stays 0)
DecodeParseAPI.ParseOnly_SpecSliceLoss | 8b.B | DecodeParser is a stub: returns dsErrorFree, writes nothing (iNalNum stays 0)
DecodeParseAPI.ParseOnly_SpecStatistics | 8b.B | DecodeParser is a stub: returns dsErrorFree, writes nothing (iNalNum stays 0)

# --- HashFunctions.h:31 — denoise / multi-layer encodes hash differently -----
# METHOD_DENOISE and METHOD_DOWNSAMPLE are untranslated (processing/mod.rs:29).
EncodeFile/EncoderOutputTest.CompareOutput/4 | 8b.C | denoise not ported (BilateralDenoising is an empty body)
EncodeFile/EncoderOutputTest.CompareOutput/5 | 8b.C | downsample not ported (2 spatial layers; DownsamplePadding returns RET_NOTSUPPORTED, callers drop it)
EncodeFile/EncoderOutputTest.CompareOutput/7 | 8b.C | downsample not ported (4 spatial layers; DownsamplePadding returns RET_NOTSUPPORTED, callers drop it)

# --- BaseEncoderTest.cpp:92 / encode_options_test.cpp:2195 / encoder_test.cpp:323
# --- screen content ----------------------------------------------------------
EncodeFile/EncoderOutputTest.CompareOutput/8 | 10 | screen content: the D-scr-1 guard (encoder_ext.rs:817)
EncodeFile/EncoderOutputTest.CompareOutput/9 | 10 | screen content: the D-scr-1 guard (encoder_ext.rs:817)
EncodeFile/EncoderOutputTest.CompareOutput/10 | 10 | screen content: the D-scr-1 guard (encoder_ext.rs:817)
EncodeFile/EncoderOutputTest.CompareOutput/11 | 10 | screen content: the D-scr-1 guard (encoder_ext.rs:817)
EncodeFile/EncoderOutputTest.CompareOutput/12 | 10 | screen content: the D-scr-1 guard (encoder_ext.rs:817)
EncodeDecodeTestAPI.ScreenContent_LosslessLink0_EnableLongTermReference | 10 | screen content: the D-scr-1 guard (encoder_ext.rs:817)
EncoderInitTest.ScreenContentScrollMotionVectorBounds | 10 | screen content: the D-scr-1 guard (encoder_ext.rs:817)

# --- HashFunctions.h:20 — the POC tiebreak ----------------------------------
# Deliberate divergence, argued at decoder_conformance_test.rs:238 and corroborated
# by the JVT gold for CABA2_SVA_B, which upstream itself fails. D-poc-1 is the
# user's call: keep (JVT-correct) or match upstream (bug-compatible drop-in).
DecodeFile/DecoderOutputTest.CompareOutput/39 | D-poc-1 | deliberate POC tiebreak divergence, pending the user's ruling
